,delta,alpha,beta
6037,0.6037,0.5917743434367305,0.9943052219505878
6038,0.6038,0.591889059796618,0.9943132631034489
6039,0.6039,0.5920037608389781,0.9943212940120354
6040,0.604,0.5921184465784454,0.9943293146891545
6041,0.6041000000000001,0.5922331170296374,0.9943373251475951
6042,0.6042000000000001,0.5923477722071546,0.9943453254001277
6043,0.6043000000000001,0.592462412125581,0.9943533154595044
6044,0.6044,0.5925770367994836,0.9943612953384594
6045,0.6045,0.5926916462434128,0.9943692650497085
6046,0.6046,0.5928062404719016,0.994377224605949
6047,0.6047,0.5929208194994674,0.9943851740198606
6048,0.6048,0.5930353833406096,0.9943931133041044
6049,0.6049,0.5931499320098119,0.9944010424713237
6050,0.605,0.5932644655215409,0.9944089615341435
6051,0.6051000000000001,0.5933789838902468,0.994416870505171
6052,0.6052000000000001,0.5934934871303631,0.9944247693969954
6053,0.6053000000000001,0.5936079752563065,0.9944326582221877
6054,0.6054,0.5937224482824772,0.9944405369933011
6055,0.6055,0.5938369062232599,0.9944484057228712
6056,0.6056,0.5939513490930213,0.9944562644234152
6057,0.6057,0.5940657769061126,0.9944641131074329
6058,0.6058,0.5941801896768685,0.994471951787406
6059,0.6059,0.5942945874196068,0.9944797804757987
6060,0.606,0.5944089701486299,0.9944875991850574
6061,0.6061000000000001,0.594523337878223,0.9944954079276106
6062,0.6062000000000001,0.5946376906226551,0.9945032067158694
6063,0.6063000000000001,0.5947520283961795,0.9945109955622273
6064,0.6064,0.5948663512130324,0.9945187744790599
6065,0.6065,0.5949806590874348,0.9945265434787254
6066,0.6066,0.5950949520335903,0.9945343025735643
6067,0.6067,0.5952092300656876,0.9945420517759002
6068,0.6068,0.5953234931978986,0.9945497910980384
6069,0.6069,0.595437741444379,0.9945575205522673
6070,0.607,0.5955519748192685,0.9945652401508577
6071,0.6071000000000001,0.5956661933366914,0.994572949906063
6072,0.6072000000000001,0.5957803970107545,0.9945806498301194
6073,0.6073000000000001,0.5958945858555506,0.9945883399352458
6074,0.6074,0.5960087598851544,0.9945960202336434
6075,0.6075,0.5961229191136266,0.9946036907374967
6076,0.6076,0.5962370635550108,0.9946113514589727
6077,0.6077,0.596351193223335,0.9946190024102213
6078,0.6078,0.5964653081326116,0.9946266436033752
6079,0.6079,0.5965794082968368,0.9946342750505499
6080,0.608,0.5966934937299911,0.994641896763844
6081,0.6081,0.5968075644460393,0.9946495087553388
6082,0.6082000000000001,0.5969216204589308,0.9946571110370988
6083,0.6083000000000001,0.5970356617825986,0.9946647036211712
6084,0.6084,0.5971496884309602,0.9946722865195866
6085,0.6085,0.5972637004179179,0.9946798597443585
6086,0.6086,0.5973776977573579,0.9946874233074834
6087,0.6087,0.597491680463151,0.9946949772209409
6088,0.6088,0.5976056485491521,0.9947025214966939
6089,0.6089,0.5977196020292014,0.9947100561466886
6090,0.609,0.597833540917122,0.9947175811828539
6091,0.6091,0.5979474652267233,0.9947250966171026
6092,0.6092000000000001,0.5980613749717981,0.9947326024613303
6093,0.6093000000000001,0.5981752701661237,0.994740098727416
6094,0.6094,0.5982891508234629,0.9947475854272222
6095,0.6095,0.598403016957562,0.9947550625725946
6096,0.6096,0.5985168685821528,0.9947625301753624
6097,0.6097,0.5986307057109511,0.9947699882473381
6098,0.6098,0.598744528357658,0.9947774368003178
6099,0.6099,0.5988583365359584,0.9947848758460809
6100,0.61,0.598972130259523,0.9947923053963904
6101,0.6101,0.5990859095420069,0.9947997254629931
6102,0.6102000000000001,0.5991996743970495,0.9948071360576188
6103,0.6103000000000001,0.5993134248382753,0.9948145371919815
6104,0.6104,0.5994271608792942,0.9948219288777785
6105,0.6105,0.5995408825336996,0.9948293111266907
6106,0.6106,0.5996545898150717,0.9948366839503829
6107,0.6107,0.5997682827369738,0.9948440473605036
6108,0.6108,0.5998819613129552,0.9948514013686849
6109,0.6109,0.5999956255565498,0.9948587459865427
6110,0.611,0.6001092754812769,0.9948660812256769
6111,0.6111,0.6002229111006397,0.9948734070976709
6112,0.6112000000000001,0.6003365324281282,0.9948807236140924
6113,0.6113000000000001,0.600450139477216,0.9948880307864927
6114,0.6114,0.6005637322613622,0.994895328626407
6115,0.6115,0.6006773107940108,0.9949026171453543
6116,0.6116,0.600790875088592,0.9949098963548383
6117,0.6117,0.6009044251585199,0.9949171662663459
6118,0.6118,0.6010179610171944,0.9949244268913482
6119,0.6119,0.6011314826780005,0.9949316782413009
6120,0.612,0.6012449901543085,0.9949389203276431
6121,0.6121,0.6013584834594742,0.9949461531617985
6122,0.6122000000000001,0.601471962606838,0.9949533767551746
6123,0.6123000000000001,0.601585427609726,0.9949605911191634
6124,0.6124,0.6016988784814502,0.9949677962651409
6125,0.6125,0.6018123152353068,0.9949749922044673
6126,0.6126,0.6019257378845785,0.9949821789484873
6127,0.6127,0.6020391464425328,0.9949893565085296
6128,0.6128,0.6021525409224224,0.9949965248959074
6129,0.6129,0.6022659213374865,0.9950036841219182
6130,0.613,0.6023792877009487,0.9950108341978439
6131,0.6131,0.6024926400260188,0.9950179751349507
6132,0.6132000000000001,0.6026059783258919,0.9950251069444894
6133,0.6133000000000001,0.6027193026137485,0.9950322296376951
6134,0.6134000000000001,0.6028326129027546,0.9950393432257874
6135,0.6135,0.6029459092060625,0.9950464477199704
6136,0.6136,0.6030591915368095,0.995053543131433
6137,0.6137,0.6031724599081187,0.9950606294713482
6138,0.6138,0.6032857143330989,0.995067706750874
6139,0.6139,0.6033989548248445,0.9950747749811527
6140,0.614,0.6035121813964359,0.9950818341733115
6141,0.6141,0.6036253940609393,0.9950888843384623
6142,0.6142000000000001,0.6037385928314062,0.9950959254877014
6143,0.6143000000000001,0.603851777720874,0.99510295763211
6144,0.6144000000000001,0.6039649487423666,0.9951099807827543
6145,0.6145,0.6040781059088925,0.9951169949506846
6146,0.6146,0.6041912492334477,0.9951240001469369
6147,0.6147,0.6043043787290124,0.9951309963825313
6148,0.6148,0.6044174944085539,0.9951379836684732
6149,0.6149,0.6045305962850253,0.9951449620157526
6150,0.615,0.6046436843713648,0.9951519314353446
6151,0.6151,0.6047567586804979,0.9951588919382093
6152,0.6152000000000001,0.604869819225335,0.9951658435352915
6153,0.6153000000000001,0.6049828660187728,0.995172786237521
6154,0.6154000000000001,0.6050958990736948,0.9951797200558132
6155,0.6155,0.6052089184029693,0.9951866450010678
6156,0.6156,0.6053219240194518,0.9951935610841699
6157,0.6157,0.6054349159359834,0.9952004683159897
6158,0.6158,0.6055478941653915,0.9952073667073826
6159,0.6159,0.6056608587204895,0.9952142562691889
6160,0.616,0.6057738096140775,0.9952211370122345
6161,0.6161,0.605886746858941,0.9952280089473299
6162,0.6162000000000001,0.6059996704678523,0.9952348720852713
6163,0.6163000000000001,0.6061125804535697,0.99524172643684
6164,0.6164000000000001,0.6062254768288383,0.9952485720128026
6165,0.6165,0.6063383596063888,0.9952554088239111
6166,0.6166,0.6064512287989385,0.9952622368809024
6167,0.6167,0.6065640844191916,0.9952690561944996
6168,0.6168,0.6066769264798375,0.9952758667754101
6169,0.6169,0.6067897549935531,0.9952826686343277
6170,0.617,0.6069025699730013,0.995289461781931
6171,0.6171,0.6070153714308313,0.9952962462288844
6172,0.6172000000000001,0.607128159379679,0.9953030219858374
6173,0.6173000000000001,0.6072409338321662,0.9953097890634254
6174,0.6174000000000001,0.6073536948009021,0.9953165474722692
6175,0.6175,0.6074664422984821,0.9953232972229751
6176,0.6176,0.6075791763374879,0.9953300383261351
6177,0.6177,0.6076918969304878,0.9953367707923265
6178,0.6178,0.6078046040900371,0.9953434946321128
6179,0.6179,0.607917297828677,0.9953502098560425
6180,0.618,0.6080299781589364,0.9953569164746504
6181,0.6181,0.6081426450933296,0.9953636144984565
6182,0.6182000000000001,0.6082552986443588,0.9953703039379668
6183,0.6183000000000001,0.6083679388245116,0.9953769848036729
6184,0.6184000000000001,0.6084805656462637,0.9953836571060525
6185,0.6185,0.6085931791220763,0.9953903208555687
6186,0.6186,0.6087057792643984,0.9953969760626706
6187,0.6187,0.6088183660856653,0.9954036227377934
6188,0.6188,0.608930939598299,0.9954102608913578
6189,0.6189,0.6090434998147082,0.9954168905337704
6190,0.619,0.6091560467472893,0.9954235116754241
6191,0.6191,0.6092685804084248,0.9954301243266975
6192,0.6192000000000001,0.6093811008104841,0.9954367284979552
6193,0.6193000000000001,0.6094936079658236,0.9954433241995476
6194,0.6194000000000001,0.609606101886787,0.9954499114418116
6195,0.6195,0.6097185825857047,0.9954564902350698
6196,0.6196,0.6098310500748941,0.995463060589631
6197,0.6197,0.6099435043666595,0.9954696225157899
6198,0.6198,0.6100559454732919,0.9954761760238274
6199,0.6199,0.6101683734070705,0.9954827211240109
6200,0.62,0.6102807881802603,0.9954892578265936
6201,0.6201,0.610393189805114,0.9954957861418148
6202,0.6202000000000001,0.6105055782938712,0.9955023060799002
6203,0.6203000000000001,0.6106179536587589,0.9955088176510619
6204,0.6204000000000001,0.6107303159119909,0.995515320865498
